Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
34.4,17937757,5937,3021.4,2615.0,441,42330,1878.2,cudaEventQuery
24.4,12706246,576,22059.5,18540.5,3727,247300,19842.9,cudaMemcpyAsync
9.0,4671921,223,20950.3,761.0,311,527211,45703.3,cudaStreamSynchronize
8.1,4208188,212,19849.9,6032.0,4068,706290,72393.0,cudaLaunchKernel
6.1,3201448,4,800362.0,822346.5,64843,1491912,735934.1,cuLibraryLoadData
4.5,2344014,166,14120.6,1678.0,551,728544,76458.7,cudaFree
3.8,1970744,164,12016.7,6252.0,972,485947,50340.0,cudaMalloc
2.9,1495946,11,135995.1,2915.0,2114,1460407,439260.7,cudaHostAlloc
2.5,1281814,165,7768.6,7414.0,5070,32421,2604.7,cudaEventRecord
1.6,851186,11,77380.5,2725.0,1924,819486,246134.8,cudaFreeHost
1.4,714675,90,7940.8,4774.0,2875,238072,24646.8,cudaMemsetAsync
0.7,364961,13,28073.9,4258.0,1383,314016,85939.9,cudaStreamCreateWithFlags
0.4,227963,4,56990.8,2294.0,511,222864,110588.6,cudaDeviceSynchronize
0.1,56827,13,4371.3,2955.0,2164,17624,4142.7,cudaStreamDestroy
0.1,48559,212,229.1,120.0,70,1243,231.5,cuKernelGetName
0.0,24608,29,848.6,391.0,170,3086,778.7,cudaEventCreateWithFlags
0.0,18881,29,651.1,251.0,130,2295,585.7,cudaEventDestroy
0.0,10209,11,928.1,481.0,331,5189,1420.3,cuLibraryGetKernel
0.0,3987,2,1993.5,1993.5,1453,2534,764.4,cuInit
0.0,3777,1,3777.0,3777.0,3777,3777,0.0,cuModuleGetLoadingMode
0.0,3496,3,1165.3,601.0,491,2404,1074.1,cudaGetDriverEntryPointByVersion
0.0,490,1,490.0,490.0,490,490,0.0,cudaGetDeviceProperties
