Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.8,3905957331,44,88771757.5,100133506.0,1774,100201514,29501956.5,poll
31.6,1873880430,5772,324650.1,322883.0,260635,562018,9290.0,nanosleep
1.9,111152214,1652,67283.4,3627.0,1252,9220157,447087.0,ioctl
0.6,38273122,3,12757707.3,303597.0,266205,37703320,21603542.4,fread
0.0,1610123,34,47356.6,6697.5,1193,322784,94088.1,fopen
0.0,847805,4,211951.3,175891.5,43047,452975,203637.7,sem_timedwait
0.0,687367,24,28640.3,8852.0,2835,470232,94220.1,mmap
0.0,662212,83,7978.5,4909.0,4158,30317,5786.9,writev
0.0,538651,6,89775.2,83593.5,63310,141208,27285.0,pthread_create
0.0,421792,24,17574.7,4133.0,1052,136308,35131.7,fclose
0.0,192817,7,27545.3,7234.0,3487,151628,54813.2,open
0.0,142699,12,11891.6,6977.5,1704,66096,17409.5,fgets
0.0,81725,1,81725.0,81725.0,81725,81725,0.0,pthread_join
0.0,73568,8,9196.0,7955.0,1463,19607,7146.8,write
0.0,62558,1,62558.0,62558.0,62558,62558,0.0,pthread_cond_wait
0.0,25979,4,6494.8,7750.0,1893,8586,3094.2,pipe2
0.0,16992,8,2124.0,1493.0,1172,4729,1342.0,read
0.0,16892,1,16892.0,16892.0,16892,16892,0.0,pthread_cond_broadcast
0.0,7785,6,1297.5,1252.0,1072,1624,225.4,fcntl
0.0,7024,4,1756.0,1548.5,1002,2925,885.1,close
0.0,5451,2,2725.5,2725.5,1794,3657,1317.3,fwrite
