Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.4,304884977,94409,3229.4,2745.0,420,88558,1707.7,cudaEventQuery
18.4,115917677,2304,50311.5,18294.5,3436,3929750,187325.8,cudaMemcpyAsync
17.2,108185695,892,121284.4,1062.0,300,3877951,304352.2,cudaStreamSynchronize
4.1,25528269,848,30104.1,5891.0,3847,1873251,150963.7,cudaLaunchKernel
3.8,24123762,16,1507735.1,1453213.5,62338,3074065,1305182.5,cuLibraryLoadData
3.0,19200477,664,28916.4,1843.0,551,3518719,264421.8,cudaFree
1.6,9862915,656,15034.9,7094.0,942,770748,66663.8,cudaMalloc
1.5,9441640,44,214582.7,3701.5,1994,2380473,671437.8,cudaHostAlloc
0.8,5038614,660,7634.3,7208.5,4619,25368,2440.2,cudaEventRecord
0.5,3328494,44,75647.6,3246.0,1894,839703,229964.0,cudaFreeHost
0.5,2861105,360,7947.5,4779.0,2615,291138,23961.9,cudaMemsetAsync
0.1,858767,52,16514.8,4082.5,1413,406206,61541.7,cudaStreamCreateWithFlags
0.1,343273,16,21454.6,2294.0,391,296583,73436.6,cudaDeviceSynchronize
0.0,251014,848,296.0,110.0,60,14317,604.9,cuKernelGetName
0.0,158285,52,3043.9,2680.0,1242,8867,1340.1,cudaStreamDestroy
0.0,107234,116,924.4,371.0,160,8476,1211.6,cudaEventCreateWithFlags
0.0,78162,116,673.8,381.0,160,3106,572.1,cudaEventDestroy
0.0,45168,44,1026.5,436.0,160,11141,2186.2,cuLibraryGetKernel
0.0,13594,8,1699.3,1748.5,1222,2665,463.3,cuInit
0.0,11462,4,2865.5,2444.5,2375,4198,888.9,cuModuleGetLoadingMode
0.0,9128,12,760.7,431.0,331,2304,614.8,cudaGetDriverEntryPointByVersion
0.0,1663,4,415.8,425.5,341,471,65.8,cudaGetDeviceProperties
