Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.6,15541881,576,26982.4,18269.0,3437,490359,29700.2,cudaMemcpyAsync
24.6,14947687,5952,2511.4,2204.0,451,35978,1364.7,cudaEventQuery
13.2,8026591,212,37861.3,6618.0,3918,1807781,180097.8,cudaLaunchKernel
13.0,7869317,4,1967329.3,1833184.5,118605,4084343,2047722.1,cuLibraryLoadData
6.8,4148701,223,18604.0,1984.0,300,299859,33564.0,cudaStreamSynchronize
4.0,2404795,166,14486.7,1638.0,671,807393,80923.3,cudaFree
3.6,2193976,164,13377.9,6322.0,1022,555684,58193.8,cudaMalloc
2.6,1585873,11,144170.3,3156.0,1914,1543704,464179.8,cudaHostAlloc
2.1,1294506,165,7845.5,7044.0,4789,21972,2584.0,cudaEventRecord
1.8,1095183,90,12168.7,5375.0,2836,413635,43746.5,cudaMemsetAsync
1.3,760605,11,69145.9,2785.0,1703,728273,218613.6,cudaFreeHost
0.7,420589,13,32353.0,4028.0,1062,365925,100273.6,cudaStreamCreateWithFlags
0.4,234694,4,58673.5,2850.0,521,228473,113210.7,cudaDeviceSynchronize
0.1,43631,13,3356.2,3617.0,1282,5580,1332.1,cudaStreamDestroy
0.1,43615,212,205.7,101.0,50,1152,224.6,cuKernelGetName
0.1,31792,29,1096.3,451.0,160,8496,1605.9,cudaEventCreateWithFlags
0.0,21513,29,741.8,340.0,170,3297,721.9,cudaEventDestroy
0.0,11522,11,1047.5,611.0,401,5380,1446.5,cuLibraryGetKernel
0.0,3266,2,1633.0,1633.0,1393,1873,339.4,cuInit
0.0,3186,3,1062.0,521.0,421,2244,1024.9,cudaGetDriverEntryPointByVersion_v12050
0.0,1433,1,1433.0,1433.0,1433,1433,0.0,cuModuleGetLoadingMode
0.0,310,1,310.0,310.0,310,310,0.0,cudaGetDeviceProperties_v12000
