Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
66.6,4108400193,46,89313047.7,100140569.5,1893,101335342,28314722.0,poll
30.4,1878710265,5787,324643.2,322792.0,260214,437385,8777.2,nanosleep
1.9,119458762,1658,72049.9,3907.0,1011,8452342,475029.7,ioctl
0.7,46154764,3,15384921.3,334616.0,320548,45499600,26080077.7,fread
0.2,12587172,35,359633.5,6101.0,1002,10878952,1832939.4,fopen
0.0,1091745,83,13153.6,4729.0,4048,64854,15245.3,writev
0.0,972289,4,243072.3,195393.0,49844,531659,228008.9,sem_timedwait
0.0,737068,6,122844.7,124882.0,96934,147209,17464.9,pthread_create
0.0,678324,24,28263.5,10549.5,4058,414466,82379.1,mmap
0.0,650925,7,92989.3,1573.0,1042,641768,241988.9,read
0.0,367226,16,22951.6,4293.0,1102,137039,43384.7,fclose
0.0,87176,8,10897.0,10495.0,1453,20589,7772.1,write
0.0,84120,1,84120.0,84120.0,84120,84120,0.0,pthread_join
0.0,77567,1,77567.0,77567.0,77567,77567,0.0,pthread_cond_wait
0.0,73871,1,73871.0,73871.0,73871,73871,0.0,fgets
0.0,58312,6,9718.7,4839.0,4299,32111,11044.2,open
0.0,28085,4,7021.3,7915.5,2946,9308,2811.3,pipe2
0.0,18565,1,18565.0,18565.0,18565,18565,0.0,pthread_cond_broadcast
0.0,8917,6,1486.2,1392.5,1082,1954,377.1,fcntl
0.0,6101,2,3050.5,3050.5,1923,4178,1594.5,fwrite
0.0,5822,4,1455.5,1302.5,1213,2004,368.9,close
