Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.1,4236099330,664,6379667.7,17803.0,571,188181575,31517380.4,cudaFree
27.2,3183835642,2304,1381873.1,31274.5,3968,186892988,13946586.2,cudaMemcpyAsync
12.8,1499630980,656,2286022.8,49949.5,1292,187393173,17987535.4,cudaMalloc
11.1,1301036214,848,1534240.8,8346.0,4298,186754070,15439420.1,cudaLaunchKernel
9.2,1077704906,660,1632886.2,31089.0,2475,183128614,15152994.0,cudaEventRecord
2.6,299919712,44,6816357.1,36352.0,1934,153629274,31103640.0,cudaFreeHost
0.4,50740118,17706,2865.7,2515.0,441,112845,1700.2,cudaEventQuery
0.2,22256998,892,24951.8,2509.5,341,695029,53726.1,cudaStreamSynchronize
0.1,12840648,116,110695.2,2044.0,160,1717195,280908.5,cudaEventDestroy
0.1,11527684,44,261992.8,34596.0,3026,2239860,558968.7,cudaHostAlloc
0.1,8832083,52,169847.8,40710.0,2345,2143178,412993.8,cudaStreamCreateWithFlags
0.0,5257642,360,14604.6,6918.0,3046,396913,42240.3,cudaMemsetAsync
0.0,5050428,4,1262607.0,911711.0,121471,3105535,1374826.2,cuLibraryLoadData
0.0,3712713,52,71398.3,6752.5,1232,685462,140665.8,cudaStreamDestroy
0.0,843615,116,7272.5,1097.0,180,366536,35398.8,cudaEventCreateWithFlags
0.0,459530,16,28720.6,4974.0,2294,293287,71513.0,cudaDeviceSynchronize
0.0,301550,848,355.6,170.0,80,14197,554.8,cuKernelGetName
0.0,13616,11,1237.8,792.0,501,5731,1500.1,cuLibraryGetKernel
0.0,5560,2,2780.0,2780.0,2244,3316,758.0,cuInit
0.0,4238,1,4238.0,4238.0,4238,4238,0.0,cuModuleGetLoadingMode
0.0,4156,3,1385.3,831.0,731,2594,1047.9,cudaGetDriverEntryPointByVersion
0.0,1242,4,310.5,235.5,200,571,174.5,cudaGetDeviceProperties
