metadata,key,value
metadata,repository_bazel_pin,9.2.0
metadata,compiler,Clang 22.1.8None
metadata,cplusplus,202002
metadata,kernel,Linux 6.18.33.2-microsoft-standard-WSL2 x86_64
metadata,cpu,AMD Ryzen 9 9950X3D 16-Core Processor
metadata,hardware_threads,32
metadata,warmups,3
metadata,repetitions,15
metadata,clock,steady_clock nanoseconds
sample,name,scalar,mode,size,nnz,repetition,nanoseconds
summary,name,scalar,mode,size,nnz,min_ns,p25_ns,median_ns,p75_ns,max_ns
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,0,15189
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,1,15619
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,2,15409
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,3,15309
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,4,15159
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,5,15098
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,6,15309
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,7,15289
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,8,15229
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,9,16962
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,10,20229
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,11,23524
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,12,27653
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,13,24987
sample,dc_mna_ladder_128,real,analyze_factor_solve,129,384,14,22713
summary,dc_mna_ladder_128,real,analyze_factor_solve,129,384,15098,15229,15409,20229,27653
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,0,7274
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,1,7214
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,2,7133
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,3,7194
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,4,7204
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,5,7164
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,6,7134
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,7,7183
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,8,7193
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,9,7073
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,10,7174
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,11,7164
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,12,7183
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,13,7203
sample,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,14,7143
summary,dc_mna_ladder_128,real,numeric_refactor_solve,129,384,7073,7143,7183,7194,7274
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,0,69011
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,1,68189
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,2,68029
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,3,92194
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,4,74341
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,5,70734
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,6,70854
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,7,74211
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,8,66566
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,9,67267
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,10,66155
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,11,67507
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,12,67648
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,13,68730
sample,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,14,66977
summary,transient_companion_ladder_512,real,analyze_factor_solve,513,1536,66155,67267,68189,70734,92194
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,0,28394
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,1,28584
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,2,28364
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,3,28384
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,4,28414
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,5,28504
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,6,28614
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,7,28534
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,8,28574
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,9,28464
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,10,28534
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,11,28213
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,12,28324
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,13,28273
sample,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,14,28284
summary,transient_companion_ladder_512,real,numeric_refactor_solve,513,1536,28213,28324,28414,28534,28614
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,0,384357
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,1,420236
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,2,426698
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,3,423763
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,4,443039
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,5,390169
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,6,388285
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,7,431757
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,8,396801
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,9,402241
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,10,393175
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,11,417490
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,12,396110
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,13,436106
sample,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,14,405096
summary,transient_companion_ladder_2048,real,analyze_factor_solve,2049,6144,384357,393175,405096,423763,443039
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,0,128754
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,1,128253
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,2,127811
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,3,127431
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,4,129495
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,5,128142
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,6,127230
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,7,128263
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,8,128413
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,9,133292
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,10,127592
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,11,128423
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,12,125598
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,13,147970
sample,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,14,129395
summary,transient_companion_ladder_2048,real,numeric_refactor_solve,2049,6144,125598,127592,128263,128754,147970
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,0,107834
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,1,133863
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,2,106201
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,3,100390
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,4,99688
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,5,99088
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,6,98867
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,7,98647
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,8,99078
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,9,99047
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,10,99358
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,11,99328
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,12,99298
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,13,115389
sample,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,14,101723
summary,ac_mna_ladder_256,complex,analyze_factor_solve,257,768,98647,99078,99358,101723,133863
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,0,80993
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,1,80803
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,2,80833
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,3,80813
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,4,80753
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,5,80783
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,6,81014
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,7,81094
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,8,80783
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,9,80753
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,10,80803
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,11,80743
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,12,80693
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,13,80703
sample,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,14,80773
summary,ac_mna_ladder_256,complex,numeric_refactor_solve,257,768,80693,80753,80783,80813,81094
