case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,0,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00076050499999999997
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,0,0,191,204,14,1706,204,2.8691606547653046e-07,0,2.1999999999999998e-07,0,0.00087336800000000002
rc_a0.0001_t9.9999999999999995e-07_b0,1,0,0,0,125,138,14,652,44,2.6922822675205557e-07,0,2.1999999999999998e-07,0,0.000353471
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,0,0,191,204,14,848,47,2.6936292384247823e-07,0,2.1999999999999998e-07,0,0.000469581
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,0,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00059314600000000002
rc_a0.0001_t9.9999999999999995e-07_b400,0,1,0,0,191,204,14,1706,204,2.8731573127886885e-07,0,2.1999999999999998e-07,0,0.00082742999999999998
rc_a0.0001_t9.9999999999999995e-07_b400,1,0,0,0,125,138,14,652,44,2.6962793469979558e-07,0,2.1999999999999998e-07,0,0.00036577499999999999
rc_a0.0001_t9.9999999999999995e-07_b400,1,1,0,0,191,204,14,848,47,2.6976236797214385e-07,0,2.1999999999999998e-07,0,0.00055228799999999995
rc_a1_t1.0000000000000001e-09_b0,0,0,0,0,256,289,34,2598,289,0.00033018648741056644,0,0.00020020000000000001,0,0.0012662039999999999
rc_a1_t1.0000000000000001e-09_b0,0,1,0,0,298,331,34,2972,331,0.00033030235536724017,0,0.00020020000000000001,0,0.0014566749999999999
rc_a1_t1.0000000000000001e-09_b0,1,0,0,0,267,300,34,1354,76,0.00030988131527165397,0,0.00020020000000000001,0,0.00073937299999999998
rc_a1_t1.0000000000000001e-09_b0,1,1,0,0,308,341,34,1482,77,0.00031014182215638453,0,0.00020020000000000001,0,0.00083244000000000005
rc_a1_t0.001_b0,0,0,0,0,256,289,34,2598,289,0.00033018648739502332,0,0.00020020000000000001,0,0.001266103
rc_a1_t0.001_b0,0,1,0,0,298,331,34,2972,331,0.00033030235537090391,0,0.00020020000000000001,0,0.0014255559999999999
rc_a1_t0.001_b0,1,0,0,0,267,300,34,1354,76,0.00030988131525477858,0,0.00020020000000000001,0,0.00073216999999999998
rc_a1_t0.001_b0,1,1,0,0,308,341,34,1482,77,0.00031014182216093644,0,0.00020020000000000001,0,0.00081034800000000001
rc_a1_t1_b0,0,0,0,0,256,289,34,2598,289,0.00033018648738569745,0,0.00020020000000000001,0,0.001284248
rc_a1_t1_b0,0,1,0,0,298,331,34,2972,331,0.00033030235537589991,0,0.00020020000000000001,0,0.001462175
rc_a1_t1_b0,1,0,0,0,267,300,34,1354,76,0.00030988131525910845,0,0.00020020000000000001,0,0.00076663600000000001
rc_a1_t1_b0,1,1,0,0,308,341,34,1482,77,0.00031014182215660657,0,0.00020020000000000001,0,0.00080324499999999996
rc_a100_t0.001_b0,0,0,0,0,274,306,33,2754,306,0.032981436390173258,0,0.020000199999999999,0,0.001322971
rc_a100_t0.001_b0,0,1,0,0,316,348,33,3132,348,0.032998280326978602,0,0.020000199999999999,0,0.0015214880000000001
rc_a100_t0.001_b0,1,0,0,0,279,310,32,1356,71,0.030962000963938863,0,0.020000199999999999,0,0.00076967099999999998
rc_a100_t0.001_b0,1,1,0,0,320,351,32,1485,72,0.030987414695132998,0,0.020000199999999999,0,0.00082471499999999995
rlc_r0.02_a0.001_t9.9999999999999995e-07_b0,0,0,0,0,590,686,97,6174,686,3.8001635318153626e-05,3.6650921211869641e-05,7.0000000000000007e-06,5.0200000000000002e-06,0.003697419
rlc_r0.02_a0.001_t9.9999999999999995e-07_b0,0,1,0,0,596,688,93,6192,688,3.651751449884296e-05,3.5149179267866988e-05,7.0000000000000007e-06,5.0200000000000002e-06,0.0037247109999999999
rlc_r0.02_a0.001_t9.9999999999999995e-07_b0,1,0,0,0,586,678,93,2736,117,3.8124513149944794e-05,3.6767396241941868e-05,7.0000000000000007e-06,5.0200000000000002e-06,0.0019270680000000001
rlc_r0.02_a0.001_t9.9999999999999995e-07_b0,1,1,0,0,595,684,90,2754,117,3.6553445575038929e-05,3.5194615190546727e-05,7.0000000000000007e-06,5.0200000000000002e-06,0.0019390709999999999
rlc_r0.02_a1_t9.9999999999999995e-07_b0,0,0,0,0,737,903,167,8127,903,0.028383404029640236,0.027525555097784205,0.0050020000000000004,0.00500002,0.0047894019999999999
rlc_r0.02_a1_t9.9999999999999995e-07_b0,0,1,0,0,740,912,173,8208,912,0.028148656180569165,0.027284713572854447,0.0050020000000000004,0.00500002,0.0048946420000000003
