case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,0,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00080765299999999997
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,0,0,191,204,14,1706,204,2.8691606547653046e-07,0,2.1999999999999998e-07,0,0.00098670300000000002
rc_a0.0001_t9.9999999999999995e-07_b0,1,0,0,0,125,138,14,652,44,2.6922822675205557e-07,0,2.1999999999999998e-07,0,0.000403886
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,0,0,191,204,14,848,47,2.6936292384247823e-07,0,2.1999999999999998e-07,0,0.00046245699999999999
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,0,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00059491000000000004
rc_a0.0001_t9.9999999999999995e-07_b400,0,1,0,0,191,204,14,1706,204,2.8731573127886885e-07,0,2.1999999999999998e-07,0,0.00085579500000000001
rc_a0.0001_t9.9999999999999995e-07_b400,1,0,0,0,125,138,14,652,44,2.6962793469979558e-07,0,2.1999999999999998e-07,0,0.00035286999999999997
rc_a0.0001_t9.9999999999999995e-07_b400,1,1,0,0,191,204,14,848,47,2.6976236797214385e-07,0,2.1999999999999998e-07,0,0.00045416199999999998
rc_a1_t1.0000000000000001e-09_b0,0,0,0,0,256,289,34,2598,289,0.00033018648741056644,0,0.00020020000000000001,0,0.00135921
rc_a1_t1.0000000000000001e-09_b0,0,1,0,0,298,331,34,2972,331,0.00033030235536724017,0,0.00020020000000000001,0,0.001510012
rc_a1_t1.0000000000000001e-09_b0,1,0,0,0,263,296,34,1342,76,0.00030989873755959962,0,0.00020020000000000001,0,0.00075734800000000003
rc_a1_t1.0000000000000001e-09_b0,1,1,0,0,308,341,34,1482,77,0.00031014182215638453,0,0.00020020000000000001,0,0.00087149500000000002
rc_a1_t0.001_b0,0,0,0,0,256,289,34,2598,289,0.00033018648739502332,0,0.00020020000000000001,0,0.001299426
rc_a1_t0.001_b0,0,1,0,0,298,331,34,2972,331,0.00033030235537090391,0,0.00020020000000000001,0,0.0014847090000000001
rc_a1_t0.001_b0,1,0,0,0,263,296,34,1342,76,0.00030989873757247821,0,0.00020020000000000001,0,0.00076346900000000002
rc_a1_t0.001_b0,1,1,0,0,308,341,34,1482,77,0.00031014182216093644,0,0.00020020000000000001,0,0.00088984899999999996
rc_a1_t1_b0,0,0,0,0,256,289,34,2598,289,0.00033018648738569745,0,0.00020020000000000001,0,0.0012983440000000001
rc_a1_t1_b0,0,1,0,0,298,331,34,2972,331,0.00033030235537589991,0,0.00020020000000000001,0,0.001451234
rc_a1_t1_b0,1,0,0,0,263,296,34,1342,76,0.00030989873757258923,0,0.00020020000000000001,0,0.00080018799999999996
rc_a1_t1_b0,1,1,0,0,308,341,34,1482,77,0.00031014182215660657,0,0.00020020000000000001,0,0.00084019499999999996
