case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,0,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00070228300000000005
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,0,0,191,204,14,1706,204,2.8691606547653046e-07,0,2.1999999999999998e-07,0,0.00085649599999999999
rc_a0.0001_t9.9999999999999995e-07_b0,1,0,0,0,125,138,14,652,44,2.6922822675205557e-07,0,2.1999999999999998e-07,0,0.00037516300000000003
rc_a0.0001_t9.9999999999999995e-07_b0,1,1,0,0,191,204,14,848,47,2.6936292384247823e-07,0,2.1999999999999998e-07,0,0.00046991200000000001
rc_a0.0001_t9.9999999999999995e-07_b0,2,0,0,0,125,138,14,652,44,2.7074269710353876e-07,0,2.1999999999999998e-07,0,0.00036884
rc_a0.0001_t9.9999999999999995e-07_b0,2,1,0,0,191,204,14,848,47,2.7090720716882617e-07,0,2.1999999999999998e-07,0,0.00050617100000000003
rc_a0.0001_t9.9999999999999995e-07_b400,0,0,0,0,123,136,14,1162,136,2.8712489153815725e-07,0,2.1999999999999998e-07,0,0.00060053999999999999
rc_a0.0001_t9.9999999999999995e-07_b400,0,1,0,0,191,204,14,1706,204,2.8731573127886885e-07,0,2.1999999999999998e-07,0,0.000851807
rc_a0.0001_t9.9999999999999995e-07_b400,1,0,0,0,125,138,14,652,44,2.6962793469979558e-07,0,2.1999999999999998e-07,0,0.00037575299999999999
rc_a0.0001_t9.9999999999999995e-07_b400,1,1,0,0,191,204,14,848,47,2.6976236797214385e-07,0,2.1999999999999998e-07,0,0.00050119200000000002
rc_a0.0001_t9.9999999999999995e-07_b400,2,0,0,0,125,138,14,652,44,2.7114255886937031e-07,0,2.1999999999999998e-07,0,0.00037300799999999998
rc_a0.0001_t9.9999999999999995e-07_b400,2,1,0,0,191,204,14,848,47,2.7130629587590821e-07,0,2.1999999999999998e-07,0,0.00045660600000000003
rc_a1_t1.0000000000000001e-09_b0,0,0,0,0,256,289,34,2598,289,0.00033018648741056644,0,0.00020020000000000001,0,0.0012908920000000001
rc_a1_t1.0000000000000001e-09_b0,0,1,0,0,298,331,34,2972,331,0.00033030235536724017,0,0.00020020000000000001,0,0.001503192
rc_a1_t1.0000000000000001e-09_b0,1,0,0,0,267,300,34,1354,76,0.00030988131527165397,0,0.00020020000000000001,0,0.00074961400000000001
rc_a1_t1.0000000000000001e-09_b0,1,1,0,0,308,341,34,1482,77,0.00031014182215638453,0,0.00020020000000000001,0,0.00080786499999999995
rc_a1_t1.0000000000000001e-09_b0,2,0,0,0,261,290,30,1312,74,0.00031657378946181591,0,0.00020020000000000001,0,0.00078220600000000003
rc_a1_t1.0000000000000001e-09_b0,2,1,0,0,302,331,30,1440,75,0.00031684582153679308,0,0.00020020000000000001,0,0.00084917300000000005
rc_a1_t0.001_b0,0,0,0,0,256,289,34,2598,289,0.00033018648739502332,0,0.00020020000000000001,0,0.001253943
rc_a1_t0.001_b0,0,1,0,0,298,331,34,2972,331,0.00033030235537090391,0,0.00020020000000000001,0,0.0014386329999999999
