case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,0,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00077249600000000001
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,1,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00066410999999999998
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,2,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00064928299999999996
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,3,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00062473599999999998
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,4,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00069373700000000004
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,5,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00065090500000000002
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,6,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00062274200000000002
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,7,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00064382199999999995
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,8,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00065024400000000002
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,9,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00066262799999999996
rc_a0.0001_t9.9999999999999995e-07_b0,0,0,10,0,123,136,14,1162,136,2.8672536370093156e-07,0,2.1999999999999998e-07,0,0.00068027199999999999
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,0,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.010839036
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,1,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.010824879000000001
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,2,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.010754334000000001
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,3,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.010712736
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,4,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.010811443
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,5,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.010763251
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,6,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.010863061
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,7,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.010761257999999999
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,8,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.010591975999999999
rc_a0.0001_t9.9999999999999995e-07_b0,0,1,9,1,2564,2564,1,19526,2564,1.289995376068401e-07,0,2.1999999999999998e-07,0,0.0096123660000000007
